Ration Card Number,State,District no.,Age,Gender,Family Size,Aadhaar Linked,Foodgrain Type,Monthly Quota (kg),Subsidy Amount (INR),FPS ID,Transaction Date,Transaction Status
1526987154,Andhra Pradesh,District 19,73,Female,10,No,Sugar,9,410,FPS6399,18-04-2024,Failure
9561792814,Rajasthan,District 11,44,Female,3,No,Sugar,5,50,FPS9389,18-04-2024,Failure
5000118398,Rajasthan,District 6,21,Female,4,Yes,Pulses,10,412,FPS8357,19-04-2024,Success
3084652907,Tamil Nadu,District 39,71,Female,5,No,Pulses,27,68,FPS2648,01-04-2024,Failure
5199857302,Andhra Pradesh,District 12,35,Female,8,Yes,Pulses,8,182,FPS7475,09-04-2024,Success
3803233822,Karnataka,District 42,37,Other,10,No,Pulses,5,206,FPS5493,04-04-2024,Failure
4557934707,Tamil Nadu,District 13,20,Other,5,No,Rice,25,304,FPS3325,07-04-2024,Success
8105581224,Uttar Pradesh,District 31,37,Other,5,No,Millet,5,451,FPS3820,03-04-2024,Failure
5386278545,Rajasthan,District 13,76,Female,10,No,Rice,5,147,FPS6548,29-04-2024,Failure
6010881057,Uttar Pradesh,District 2,59,Female,8,Yes,Pulses,25,103,FPS9612,03-04-2024,Failure
3855270066,West Bengal,District 20,31,Male,2,No,Millet,26,177,FPS7755,20-04-2024,Failure
4505702019,Uttar Pradesh,District 34,73,Male,2,Yes,Rice,25,166,FPS3539,10-04-2024,Success
9394220493,Rajasthan,District 10,41,Female,7,No,Wheat,10,443,FPS1216,06-04-2024,Failure
6706691575,Gujarat,District 9,73,Male,8,No,Wheat,9,164,FPS2688,17-04-2024,Failure
8849139001,West Bengal,District 4,18,Female,2,No,Sugar,29,70,FPS7213,23-04-2024,Success
5144306400,Tamil Nadu,District 30,25,Other,6,Yes,Rice,5,57,FPS1041,19-04-2024,Success
6053605417,Tamil Nadu,District 44,19,Other,5,No,Wheat,31,455,FPS6703,02-04-2024,Failure
1446467414,Gujarat,District 36,56,Other,10,No,Sugar,9,228,FPS2166,03-04-2024,Success
6124651858,Bihar,District 43,25,Female,9,No,Millet,16,281,FPS7578,01-04-2024,Failure
2195219170,Gujarat,District 20,56,Female,7,No,Sugar,25,325,FPS1980,20-04-2024,Failure
2273441099,Andhra Pradesh,District 48,48,Male,10,No,Millet,10,110,FPS9136,29-04-2024,Failure
4296632243,Maharashtra,District 43,50,Female,9,Yes,Sugar,7,402,FPS7612,30-04-2024,Failure
7173040572,West Bengal,District 26,32,Female,7,No,Sugar,30,359,FPS4709,11-04-2024,Failure
7057388015,Gujarat,District 1,70,Male,6,Yes,Pulses,5,174,FPS9701,08-04-2024,Failure
3451242432,Karnataka,District 33,59,Female,3,Yes,Sugar,26,372,FPS3866,28-04-2024,Success
7285045345,Bihar,District 29,32,Female,3,No,Millet,31,416,FPS9523,16-04-2024,Failure
6995544091,West Bengal,District 49,36,Female,4,No,Rice,9,356,FPS9554,28-04-2024,Failure
5733111861,Gujarat,District 1,62,Female,7,No,Pulses,5,378,FPS6028,17-04-2024,Failure
7557397745,West Bengal,District 7,18,Female,6,Yes,Pulses,6,181,FPS1320,06-04-2024,Failure
4878108664,Gujarat,District 10,62,Male,5,No,Pulses,35,147,FPS5340,30-04-2024,Failure
3076562792,Uttar Pradesh,District 43,40,Other,4,No,Wheat,25,320,FPS3157,09-04-2024,Success
8062196620,Andhra Pradesh,District 33,78,Male,8,Yes,Rice,6,164,FPS7072,14-04-2024,Success
6802846200,Uttar Pradesh,District 3,32,Male,4,No,Rice,16,386,FPS2391,03-04-2024,Success
3899830715,Gujarat,District 16,35,Female,2,No,Millet,33,227,FPS4364,17-04-2024,Success
2729582135,Tamil Nadu,District 49,68,Male,4,Yes,Pulses,33,65,FPS1946,11-04-2024,Success
7303215450,West Bengal,District 8,60,Female,8,Yes,Pulses,6,454,FPS2562,19-04-2024,Success
2245567219,West Bengal,District 22,45,Male,3,Yes,Pulses,34,74,FPS6312,27-04-2024,Success
2098072600,Karnataka,District 1,72,Female,4,Yes,Wheat,16,447,FPS4090,16-04-2024,Success
5578388065,Karnataka,District 46,48,Female,10,Yes,Wheat,6,330,FPS5149,09-04-2024,Success
3166285421,West Bengal,District 34,70,Female,3,Yes,Sugar,32,68,FPS4552,12-04-2024,Failure
2637791223,Karnataka,District 13,70,Female,6,Yes,Rice,20,226,FPS7728,27-04-2024,Failure
6256201205,Andhra Pradesh,District 37,46,Female,8,Yes,Rice,25,346,FPS3152,27-04-2024,Success
2896168026,Maharashtra,District 7,25,Other,5,No,Millet,12,148,FPS6682,23-04-2024,Failure
4796682000,Rajasthan,District 15,26,Female,4,No,Pulses,35,429,FPS1592,24-04-2024,Failure
1609551385,Maharashtra,District 40,68,Other,9,No,Wheat,33,266,FPS6081,17-04-2024,Failure
9735954085,Maharashtra,District 27,39,Other,8,Yes,Rice,10,477,FPS6012,02-04-2024,Failure
6204930154,Madhya Pradesh,District 37,54,Other,2,No,Pulses,6,300,FPS6051,23-04-2024,Failure
2276861646,Uttar Pradesh,District 2,36,Female,4,Yes,Rice,16,270,FPS4233,27-04-2024,Failure
2277105036,Karnataka,District 28,30,Male,9,Yes,Sugar,18,150,FPS9766,12-04-2024,Success
1865590910,Karnataka,District 5,35,Female,2,No,Wheat,18,411,FPS2829,10-04-2024,Failure
4736511127,Uttar Pradesh,District 27,25,Female,9,Yes,Millet,32,55,FPS6177,15-04-2024,Failure
1238761377,Andhra Pradesh,District 14,36,Other,8,No,Wheat,33,378,FPS7580,02-04-2024,Success
1882598619,Bihar,District 32,45,Female,9,No,Wheat,22,352,FPS5029,29-04-2024,Success
9545960309,Karnataka,District 11,66,Male,9,No,Pulses,26,195,FPS7381,23-04-2024,Failure
5398050861,Madhya Pradesh,District 45,44,Other,6,No,Sugar,26,184,FPS2600,24-04-2024,Success
1248310531,West Bengal,District 24,37,Female,9,No,Millet,33,104,FPS5572,30-04-2024,Success
8718508858,Andhra Pradesh,District 24,27,Other,9,No,Sugar,20,89,FPS2723,27-04-2024,Success
4761241841,Madhya Pradesh,District 43,55,Other,4,No,Millet,26,226,FPS5921,21-04-2024,Success
9442542530,Rajasthan,District 40,50,Male,10,Yes,Millet,32,100,FPS1733,29-04-2024,Success
6311112786,Tamil Nadu,District 2,31,Female,6,Yes,Pulses,22,286,FPS2643,13-04-2024,Failure
1973733066,Tamil Nadu,District 38,64,Male,2,No,Rice,17,492,FPS8634,10-04-2024,Success
7961108166,Uttar Pradesh,District 1,74,Male,8,No,Wheat,19,133,FPS8272,22-04-2024,Success
7816481373,Bihar,District 8,66,Male,4,No,Wheat,26,242,FPS4966,10-04-2024,Success
2074874653,Uttar Pradesh,District 31,66,Female,4,No,Rice,34,185,FPS1637,24-04-2024,Failure
2215891591,Gujarat,District 38,72,Male,4,No,Wheat,31,203,FPS3480,10-04-2024,Success
9725924227,Madhya Pradesh,District 11,80,Other,9,No,Pulses,21,413,FPS5231,02-04-2024,Failure
3327956286,Bihar,District 41,43,Female,9,No,Rice,27,331,FPS9910,17-04-2024,Failure
6433230708,Madhya Pradesh,District 17,76,Other,5,Yes,Millet,19,259,FPS4999,05-04-2024,Failure
6691113163,Rajasthan,District 36,74,Female,8,Yes,Sugar,10,305,FPS5548,05-04-2024,Success
5163738070,Rajasthan,District 1,34,Other,8,Yes,Sugar,7,215,FPS2995,06-04-2024,Success
6692369873,West Bengal,District 49,21,Male,7,Yes,Millet,32,66,FPS8704,22-04-2024,Success
8691530094,Madhya Pradesh,District 39,73,Female,2,No,Wheat,22,240,FPS3980,13-04-2024,Failure
5024613879,Bihar,District 24,74,Other,9,No,Wheat,18,341,FPS2181,25-04-2024,Success
7876277030,Madhya Pradesh,District 25,27,Male,6,No,Sugar,35,278,FPS2548,04-04-2024,Failure
4098893971,Karnataka,District 50,32,Male,3,Yes,Wheat,29,476,FPS4638,26-04-2024,Success
6218156499,West Bengal,District 8,40,Male,6,No,Rice,25,500,FPS4605,17-04-2024,Success
7120929472,Rajasthan,District 3,25,Male,6,Yes,Sugar,14,137,FPS7806,23-04-2024,Success
4183554460,Maharashtra,District 23,36,Female,9,No,Millet,25,418,FPS1332,07-04-2024,Success
6553048704,West Bengal,District 6,51,Other,5,Yes,Pulses,22,370,FPS1952,30-04-2024,Success
7944308682,Uttar Pradesh,District 36,47,Female,8,Yes,Sugar,16,206,FPS7421,11-04-2024,Failure
3362666724,West Bengal,District 45,18,Male,3,Yes,Wheat,35,305,FPS4649,15-04-2024,Success
5305976922,Maharashtra,District 36,54,Female,4,No,Millet,28,121,FPS3041,11-04-2024,Failure
4094646846,Karnataka,District 29,68,Female,9,Yes,Rice,27,395,FPS3550,20-04-2024,Failure
5223256735,Bihar,District 39,50,Female,2,Yes,Rice,21,99,FPS9205,25-04-2024,Success
3859310259,Maharashtra,District 20,22,Female,5,No,Pulses,6,70,FPS3885,05-04-2024,Success
1137853216,Uttar Pradesh,District 17,36,Male,9,Yes,Millet,15,70,FPS1461,03-04-2024,Failure
1112348009,Maharashtra,District 2,38,Male,8,No,Pulses,16,389,FPS6592,16-04-2024,Failure
3203370456,Andhra Pradesh,District 31,35,Other,10,No,Pulses,21,494,FPS2269,24-04-2024,Failure
9564137698,Andhra Pradesh,District 41,38,Female,2,No,Wheat,7,101,FPS1754,25-04-2024,Success
9980772280,West Bengal,District 7,76,Female,6,Yes,Pulses,14,182,FPS6026,29-04-2024,Failure
4848005552,Bihar,District 20,63,Other,6,Yes,Rice,17,476,FPS8410,20-04-2024,Failure
5280587623,Madhya Pradesh,District 45,45,Other,3,No,Rice,25,362,FPS8442,02-04-2024,Failure
2495269487,Andhra Pradesh,District 30,57,Other,4,No,Millet,29,175,FPS6777,05-04-2024,Success
5797459893,Uttar Pradesh,District 4,46,Female,6,No,Sugar,9,275,FPS3746,30-04-2024,Failure
3463656931,Karnataka,District 21,21,Female,2,Yes,Rice,14,75,FPS5897,06-04-2024,Failure
9241097456,Andhra Pradesh,District 1,52,Female,3,Yes,Wheat,21,81,FPS9516,27-04-2024,Failure
6225957128,Andhra Pradesh,District 13,21,Other,4,Yes,Millet,9,331,FPS1961,06-04-2024,Failure
7572120176,Gujarat,District 21,19,Other,2,No,Sugar,20,106,FPS1591,07-04-2024,Success
3678380027,Karnataka,District 44,31,Male,10,No,Millet,20,216,FPS2082,23-04-2024,Success
4584156632,Tamil Nadu,District 15,51,Other,7,No,Millet,25,451,FPS2165,22-04-2024,Success
4266571612,Gujarat,District 12,63,Male,5,No,Rice,8,480,FPS6849,09-04-2024,Failure
4247340007,Andhra Pradesh,District 12,39,Male,6,No,Sugar,11,253,FPS9402,07-04-2024,Success
6330213140,Madhya Pradesh,District 8,72,Other,8,Yes,Sugar,30,268,FPS7310,17-04-2024,Failure
1218394184,Madhya Pradesh,District 14,26,Male,9,No,Millet,28,349,FPS3154,21-04-2024,Success
3040996023,Gujarat,District 37,62,Other,3,Yes,Rice,32,135,FPS8099,27-04-2024,Success
8520751601,Gujarat,District 45,20,Female,5,No,Wheat,18,63,FPS4614,16-04-2024,Success
2589397624,Madhya Pradesh,District 24,34,Male,10,No,Pulses,32,472,FPS9197,22-04-2024,Success
5411683319,Karnataka,District 31,45,Male,8,No,Wheat,10,484,FPS1438,15-04-2024,Failure
4278667773,Bihar,District 27,38,Female,5,No,Sugar,35,96,FPS5456,08-04-2024,Failure
4694528190,Bihar,District 31,60,Male,10,Yes,Wheat,21,443,FPS5941,18-04-2024,Failure
5680455872,West Bengal,District 1,67,Female,6,Yes,Sugar,10,115,FPS2213,07-04-2024,Failure
3529068084,West Bengal,District 6,29,Male,9,Yes,Pulses,18,446,FPS8762,22-04-2024,Success
9355826188,Gujarat,District 26,26,Other,4,Yes,Pulses,22,448,FPS8801,03-04-2024,Success
7471783825,Rajasthan,District 7,51,Female,6,Yes,Sugar,27,431,FPS3615,01-04-2024,Failure
3980604220,Andhra Pradesh,District 37,26,Male,2,Yes,Millet,11,51,FPS3516,10-04-2024,Success
3276487409,Tamil Nadu,District 8,72,Female,8,Yes,Rice,31,317,FPS2854,07-04-2024,Failure
5059298635,Uttar Pradesh,District 13,66,Female,9,Yes,Pulses,25,289,FPS7219,29-04-2024,Failure
5975618737,Madhya Pradesh,District 40,63,Female,2,No,Pulses,19,283,FPS4004,02-04-2024,Success
2351690123,Karnataka,District 7,28,Other,5,Yes,Pulses,23,439,FPS6185,04-04-2024,Failure
7303368341,Uttar Pradesh,District 19,58,Male,10,No,Pulses,7,250,FPS9810,15-04-2024,Success
4437943995,Bihar,District 50,60,Male,8,No,Rice,26,475,FPS8550,04-04-2024,Failure
7642994024,Gujarat,District 6,39,Other,9,No,Rice,10,385,FPS1797,24-04-2024,Failure
3514773707,Rajasthan,District 11,53,Male,10,No,Pulses,20,410,FPS9466,01-04-2024,Success
3179945056,Andhra Pradesh,District 4,19,Male,10,Yes,Wheat,21,352,FPS8046,01-04-2024,Failure
6030229324,Andhra Pradesh,District 21,41,Other,6,Yes,Millet,32,232,FPS6638,03-04-2024,Success
1282566102,West Bengal,District 3,49,Other,10,Yes,Pulses,20,375,FPS3713,18-04-2024,Success
2584057733,Madhya Pradesh,District 36,29,Female,5,No,Wheat,35,84,FPS8187,24-04-2024,Success
2313873197,Karnataka,District 13,45,Other,5,Yes,Sugar,32,400,FPS7183,24-04-2024,Success
9328809082,Karnataka,District 15,59,Male,6,No,Millet,32,332,FPS5698,23-04-2024,Success
6737537958,West Bengal,District 12,78,Female,6,Yes,Pulses,35,284,FPS3545,17-04-2024,Failure
8544904499,Bihar,District 44,44,Female,6,No,Sugar,24,267,FPS3728,30-04-2024,Success
7368679527,Maharashtra,District 39,20,Female,7,No,Pulses,35,212,FPS3956,11-04-2024,Failure
6416402009,Madhya Pradesh,District 27,63,Male,3,Yes,Pulses,26,333,FPS9923,23-04-2024,Success
6147505732,Karnataka,District 8,71,Female,3,No,Millet,18,108,FPS4308,04-04-2024,Success
1904454782,Uttar Pradesh,District 30,38,Male,2,Yes,Rice,25,203,FPS9528,30-04-2024,Success
7488331247,Tamil Nadu,District 20,49,Female,2,Yes,Wheat,11,202,FPS7343,02-04-2024,Failure
6874891058,Gujarat,District 36,75,Male,5,No,Pulses,24,305,FPS8103,16-04-2024,Success
1162612156,Uttar Pradesh,District 25,36,Other,9,No,Wheat,30,174,FPS5272,06-04-2024,Failure
3344974511,Tamil Nadu,District 13,67,Other,4,No,Rice,28,114,FPS7702,03-04-2024,Failure
2194428540,Gujarat,District 20,51,Male,10,Yes,Sugar,24,477,FPS2685,05-04-2024,Success
6995045682,Maharashtra,District 25,51,Male,10,Yes,Rice,7,299,FPS7405,13-04-2024,Failure
1533429008,Tamil Nadu,District 40,41,Other,10,Yes,Sugar,27,428,FPS1293,22-04-2024,Failure
2153603948,Karnataka,District 48,39,Other,3,No,Millet,34,370,FPS1887,12-04-2024,Failure
5180918265,Andhra Pradesh,District 37,48,Other,7,Yes,Pulses,24,96,FPS2344,23-04-2024,Failure
2458891863,Rajasthan,District 20,29,Female,9,Yes,Rice,20,253,FPS9744,26-04-2024,Failure
3927309119,Madhya Pradesh,District 23,54,Male,2,Yes,Sugar,31,420,FPS8123,07-04-2024,Failure
9068849085,Tamil Nadu,District 39,26,Female,2,No,Rice,24,132,FPS7751,26-04-2024,Failure
8961923603,Maharashtra,District 13,19,Other,9,Yes,Rice,8,317,FPS7176,13-04-2024,Failure
5875974489,Maharashtra,District 19,19,Other,5,No,Millet,23,102,FPS1264,16-04-2024,Success
7273644886,Bihar,District 18,56,Female,9,Yes,Wheat,35,154,FPS7478,21-04-2024,Success
2222190177,Bihar,District 27,45,Other,9,No,Rice,5,52,FPS5256,13-04-2024,Failure
9157519214,Bihar,District 39,25,Other,10,No,Wheat,18,421,FPS8333,03-04-2024,Failure
6009423928,Gujarat,District 41,23,Male,4,No,Millet,35,343,FPS6677,07-04-2024,Failure
6012330090,Rajasthan,District 12,59,Other,3,Yes,Millet,32,157,FPS9259,24-04-2024,Success
3663799979,Andhra Pradesh,District 48,52,Male,9,Yes,Millet,32,417,FPS5823,11-04-2024,Failure
1435122723,Rajasthan,District 39,41,Other,6,Yes,Rice,13,70,FPS3526,20-04-2024,Failure
5626361681,Uttar Pradesh,District 43,35,Other,3,Yes,Millet,11,270,FPS3014,22-04-2024,Success
6471783128,Karnataka,District 44,20,Male,4,Yes,Rice,18,138,FPS8144,28-04-2024,Success
1903688986,Maharashtra,District 11,71,Other,8,Yes,Millet,27,180,FPS9101,27-04-2024,Failure
9304077906,Andhra Pradesh,District 45,48,Other,10,Yes,Millet,13,106,FPS9916,08-04-2024,Failure
3602756937,Bihar,District 26,62,Other,9,Yes,Millet,29,79,FPS8118,18-04-2024,Failure
6122408136,Tamil Nadu,District 42,40,Female,3,No,Pulses,34,170,FPS2369,05-04-2024,Failure
4637478786,Tamil Nadu,District 31,39,Other,7,No,Rice,16,69,FPS6114,12-04-2024,Success
6163194445,Maharashtra,District 11,72,Female,10,No,Rice,35,443,FPS8433,14-04-2024,Success
3580758797,Andhra Pradesh,District 44,66,Other,4,Yes,Sugar,16,232,FPS2657,07-04-2024,Failure
7787191284,Bihar,District 22,52,Male,7,Yes,Rice,24,195,FPS8795,23-04-2024,Failure
6109435938,Tamil Nadu,District 50,63,Female,7,Yes,Rice,26,202,FPS9581,10-04-2024,Success
2074487837,Madhya Pradesh,District 39,64,Male,7,No,Millet,33,119,FPS6358,07-04-2024,Success
7824102048,Gujarat,District 11,42,Female,3,Yes,Wheat,16,53,FPS8157,26-04-2024,Failure
8613645754,Gujarat,District 17,64,Male,6,No,Pulses,6,163,FPS8999,25-04-2024,Success
5165819510,Madhya Pradesh,District 24,26,Male,3,Yes,Pulses,22,284,FPS4840,12-04-2024,Success
2843534644,Bihar,District 44,20,Other,4,No,Millet,20,229,FPS3004,21-04-2024,Success
3875687319,Karnataka,District 35,63,Other,10,No,Rice,14,130,FPS4446,30-04-2024,Failure
6930873008,Maharashtra,District 20,56,Female,2,No,Rice,29,176,FPS3624,11-04-2024,Failure
9902304235,Karnataka,District 2,72,Male,2,Yes,Rice,25,144,FPS4744,29-04-2024,Failure
2516108782,Maharashtra,District 40,77,Male,6,No,Wheat,10,292,FPS5657,08-04-2024,Failure
3654243897,Tamil Nadu,District 35,21,Other,4,Yes,Millet,26,392,FPS7846,05-04-2024,Failure
5468557106,Karnataka,District 21,34,Other,8,Yes,Pulses,6,172,FPS1001,21-04-2024,Failure
1455618753,Karnataka,District 27,36,Female,7,Yes,Millet,22,243,FPS6035,08-04-2024,Failure
9991305740,Madhya Pradesh,District 29,50,Other,5,Yes,Rice,18,433,FPS7528,16-04-2024,Failure
7828308582,West Bengal,District 25,42,Other,9,No,Pulses,10,162,FPS6587,29-04-2024,Success
4755276869,West Bengal,District 32,22,Male,9,No,Millet,33,434,FPS2871,20-04-2024,Success
4551900461,Bihar,District 4,41,Male,10,Yes,Rice,27,108,FPS6100,18-04-2024,Success
1017800213,Maharashtra,District 38,20,Other,6,Yes,Sugar,32,447,FPS4368,21-04-2024,Failure
6183400854,Andhra Pradesh,District 6,57,Male,3,Yes,Sugar,16,472,FPS3940,26-04-2024,Success
3109507489,Rajasthan,District 6,79,Male,3,No,Wheat,5,428,FPS5525,27-04-2024,Success
3180666570,Maharashtra,District 14,72,Male,6,No,Sugar,21,431,FPS3259,26-04-2024,Success
4768656732,Gujarat,District 18,55,Other,10,No,Rice,24,185,FPS2013,09-04-2024,Success
1418599540,Andhra Pradesh,District 50,57,Male,4,Yes,Wheat,19,269,FPS1614,21-04-2024,Failure
8070319276,Andhra Pradesh,District 15,78,Female,9,No,Pulses,26,317,FPS3886,14-04-2024,Success
6080159194,Bihar,District 10,70,Male,8,Yes,Pulses,29,166,FPS5536,23-04-2024,Success
7997071965,Bihar,District 12,49,Female,8,No,Rice,34,469,FPS7606,06-04-2024,Success
9961891377,Maharashtra,District 37,47,Other,3,No,Sugar,24,209,FPS9444,11-04-2024,Success
6334275996,Bihar,District 31,29,Male,7,No,Wheat,6,404,FPS7370,05-04-2024,Success
7476550581,Karnataka,District 22,34,Other,3,Yes,Millet,32,185,FPS9302,16-04-2024,Failure
9394037555,Bihar,District 26,51,Female,8,Yes,Wheat,26,259,FPS2492,05-04-2024,Failure
9455234752,Tamil Nadu,District 28,75,Male,9,No,Rice,18,315,FPS7488,23-04-2024,Success
8364808168,Gujarat,District 37,61,Other,7,No,Rice,35,109,FPS7157,02-04-2024,Failure
2697137727,Tamil Nadu,District 2,37,Other,5,Yes,Rice,11,88,FPS8115,17-04-2024,Success
8495135156,Uttar Pradesh,District 12,22,Female,5,No,Sugar,28,118,FPS2512,30-04-2024,Success
8035562575,Bihar,District 14,24,Male,9,Yes,Sugar,10,310,FPS3221,08-04-2024,Success
8876590473,West Bengal,District 37,68,Male,6,Yes,Wheat,25,382,FPS9694,10-04-2024,Success
5985828455,Rajasthan,District 17,42,Male,3,Yes,Sugar,12,431,FPS3276,05-04-2024,Failure
8783523067,Gujarat,District 40,61,Other,4,Yes,Millet,7,378,FPS6128,09-04-2024,Failure
4232169537,West Bengal,District 45,66,Male,7,No,Wheat,12,56,FPS4450,18-04-2024,Success
5326513731,Maharashtra,District 32,23,Other,9,No,Rice,23,68,FPS3466,21-04-2024,Failure
6910093431,Madhya Pradesh,District 14,55,Male,3,Yes,Sugar,12,297,FPS2226,24-04-2024,Failure
9013308138,Bihar,District 29,34,Other,5,Yes,Rice,14,453,FPS5969,11-04-2024,Success
2266822305,West Bengal,District 15,20,Other,5,Yes,Sugar,8,264,FPS9679,06-04-2024,Failure
6490387102,Madhya Pradesh,District 45,76,Female,6,Yes,Sugar,26,360,FPS9146,04-04-2024,Success
9380506774,Gujarat,District 7,51,Female,6,No,Wheat,15,138,FPS9922,13-04-2024,Failure
2931644439,Karnataka,District 1,71,Male,8,No,Sugar,21,465,FPS5082,23-04-2024,Success
9550643242,Bihar,District 32,55,Male,10,No,Sugar,31,437,FPS3267,09-04-2024,Success
3176660804,Andhra Pradesh,District 9,60,Male,4,No,Sugar,10,258,FPS9582,21-04-2024,Failure
5092092009,Tamil Nadu,District 24,44,Other,3,Yes,Sugar,15,81,FPS8179,18-04-2024,Success
8333294928,Maharashtra,District 15,55,Male,2,Yes,Wheat,29,381,FPS4204,23-04-2024,Success
3127366158,Maharashtra,District 3,75,Other,7,No,Pulses,13,66,FPS9865,09-04-2024,Failure
6220500844,West Bengal,District 33,38,Other,3,No,Pulses,32,326,FPS2054,05-04-2024,Failure
4047983395,Madhya Pradesh,District 27,28,Other,2,Yes,Sugar,31,263,FPS6061,07-04-2024,Failure
1048081994,Andhra Pradesh,District 13,35,Other,5,No,Millet,6,372,FPS3761,28-04-2024,Success
5362292799,Uttar Pradesh,District 37,22,Other,8,Yes,Rice,6,280,FPS4761,26-04-2024,Failure
6872807457,Andhra Pradesh,District 35,45,Male,9,No,Wheat,12,64,FPS5629,26-04-2024,Failure
7253110294,Karnataka,District 23,28,Other,6,No,Sugar,21,467,FPS1645,21-04-2024,Success
8408664501,Rajasthan,District 40,42,Other,8,No,Rice,7,152,FPS5661,30-04-2024,Success
9283400663,Gujarat,District 6,55,Other,2,Yes,Pulses,30,163,FPS3180,12-04-2024,Success
8572380141,Bihar,District 3,75,Female,7,Yes,Millet,20,163,FPS6759,10-04-2024,Success
7766444555,Gujarat,District 41,44,Female,7,Yes,Pulses,5,444,FPS8500,20-04-2024,Success
1744345312,Gujarat,District 13,43,Other,2,Yes,Wheat,12,482,FPS9754,25-04-2024,Failure
3322533338,Madhya Pradesh,District 42,71,Other,3,No,Pulses,11,220,FPS8646,02-04-2024,Success
6925987872,Tamil Nadu,District 34,64,Other,10,No,Wheat,6,171,FPS4690,19-04-2024,Failure
2519212383,Karnataka,District 21,38,Male,9,Yes,Pulses,7,88,FPS5092,13-04-2024,Success
8979021784,Gujarat,District 35,79,Male,4,No,Wheat,25,87,FPS2091,01-04-2024,Failure
3715791782,Madhya Pradesh,District 17,53,Other,3,No,Pulses,29,162,FPS3600,12-04-2024,Success
5927351580,Andhra Pradesh,District 15,67,Other,5,Yes,Sugar,18,295,FPS3433,14-04-2024,Failure
2903208201,Bihar,District 12,21,Male,9,Yes,Rice,29,386,FPS2546,08-04-2024,Success
2709659675,Rajasthan,District 33,67,Male,6,Yes,Millet,29,88,FPS4011,02-04-2024,Success
3881859983,Maharashtra,District 2,36,Male,5,Yes,Sugar,34,218,FPS5319,16-04-2024,Failure
4762650140,Maharashtra,District 14,67,Male,6,Yes,Pulses,26,131,FPS4294,20-04-2024,Failure
7613200679,Gujarat,District 1,34,Other,9,No,Pulses,28,291,FPS6236,17-04-2024,Success
5884491550,Rajasthan,District 16,29,Other,6,Yes,Sugar,7,251,FPS9635,18-04-2024,Failure
1957653681,West Bengal,District 17,34,Female,4,No,Rice,11,384,FPS4989,10-04-2024,Success
